Name,Total Points,Games Played,Points Per Game
LeBron James,38652,1421,27.2
Kareem AbdulJabbar,38387,1560,24.6
Karl Malone,36928,1476,25.0
Kobe Bryant,33643,1346,25.0
Michael Jordan,32292,1072,30.1
Dirk Nowitzki,31560,1522,20.7
Wilt Chamberlain,31419,1045,30.1
Shaquille ONeal,28596,1207,23.7
Carmelo Anthony,28289,1260,22.5
Moses Malone,27409,1329,20.6
Elvin Hayes,27313,1303,21.0
Hakeem Olajuwon,26946,1238,21.8
Kevin Durant,26892,986,27.3
Oscar Robertson,26710,1040,25.7
Dominique Wilkins,26668,1074,24.8
Tim Duncan,26496,1392,19.0
Paul Pierce,26397,1343,19.7
John Havlicek,26395,1270,20.8
Kevin Garnett,26071,1462,17.8
Vince Carter,25728,1541,16.7
Alex English,25613,1193,21.5
Reggie Miller,25279,1389,18.2
Jerry West,25192,932,27.0
Patrick Ewing,24815,1183,21.0
James Harden,24693,1000,24.7
Ray Allen,24505,1300,18.9
Russell Westbrook,24457,1094,22.4
Allen Iverson,24368,914,26.7
Charles Barkley,23757,1073,22.1
Robert Parish,23334,1611,14.5
Adrian Dantley,23177,955,24.3
Dwyane Wade,23165,1054,22.0
Elgin Baylor,23149,846,27.4
Clyde Drexler,22195,1086,20.4
Gary Payton,21813,1335,16.3
Larry Bird,21791,897,24.3
Chris Paul,21755,1214,17.9
Stephen Curry,21712,882,24.6
DeMar DeRozan,21685,1031,21.0
Hal Greer,21586,1122,19.2
Walt Bellamy,20941,1043,20.1
Pau Gasol,20894,1226,17.0
Bob Pettit,20880,792,26.4
David Robinson,20790,987,21.1
George Gervin,20708,791,26.2
LaMarcus Aldridge,20558,1076,19.1
Mitch Richmond,20497,976,21.0
Joe Johnson,20407,1277,16.0
Tom Chambers,20049,1107,18.1
Antawn Jamison,20042,1083,18.5
